epoch,loss,map,recall,score_calc,score_saved
1,42.0251,0.6719,0.641,0.66263,0.6626
2,39.6185,0.6717,0.641,0.6624899999999999,
3,35.2847,0.6716,0.641,0.6624199999999999,
4,31.2724,0.671,0.6401,0.66173,
5,25.7792,0.67,0.6418,0.66154,
6,19.8571,0.6682,0.6426,0.66052,
7,15.1358,0.6673,0.6393,0.6588999999999999,
8,13.4143,0.6661,0.6393,0.65806,
9,12.3495,0.6644,0.6393,0.65687,
10,11.6427,0.663,0.6413,0.65649,
11,11.2197,0.6573,0.6393,0.6518999999999999,
12,10.8344,0.6554,0.6393,0.65057,
13,10.4944,0.652,0.6393,0.6481899999999999,
14,10.3589,0.6494,0.6393,0.6463699999999999,
15,10.0855,0.6415,0.6418,0.64159,
16,10.2108,0.6388,0.6418,0.6397,
17,10.1223,0.6261,0.6408,0.6305099999999999,
18,9.7179,0.6337,0.6408,0.63583,
19,9.957,0.6121,0.6416,0.6209499999999999,
20,9.7756,0.6103,0.6404,0.6193299999999999,
21,9.6854,0.6146,0.6379,0.62159,
